Age,DailyRate,DistanceFromHome,Education,Gender,HourlyRate,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,YearsWithCurrManager,TotalWorkingYears,Attrition
31,1365,13,4,1,46,1,4233,11512,2,2,9,Yes
35,538,25,2,1,54,4,3681,14004,4,2,9,No
31,525,6,4,1,66,4,5460,6219,4,7,13,No
27,798,6,4,0,66,3,2187,5013,0,3,6,No
37,558,2,3,1,75,3,9602,3010,4,0,17,No
20,959,1,3,0,83,2,2836,11757,1,0,1,No
42,622,2,4,0,81,4,4089,5718,1,2,10,No
43,782,6,4,1,50,4,16627,2671,4,0,21,No
38,362,1,1,0,43,1,2619,14561,3,0,8,No
43,1001,9,5,1,72,3,5679,19627,3,7,10,No
48,1236,1,4,0,40,1,15402,17997,7,2,21,No
44,1112,1,4,0,50,3,5985,26894,4,2,10,No
34,204,14,3,0,31,3,2579,2912,1,6,8,No
27,1420,2,1,1,85,1,3041,16346,0,2,5,Yes
21,1343,22,1,1,49,3,3447,24444,1,2,3,No
44,1315,3,4,1,35,4,19513,9358,4,1,26,No
22,604,6,1,1,69,3,2773,12145,0,2,3,No
33,1216,8,4,1,39,3,7104,20431,0,2,6,No
32,646,9,4,0,92,4,6322,18089,1,5,6,No
30,160,3,3,0,71,3,2083,22653,1,0,1,No
53,238,1,1,0,65.84941821,1,8381,7507,7,10,18,No
34,1397,1,5,1,42,4,2691,7660,1,8,10,No
45,306,26,4,0,100,1,4286,5630,2,0,5,Yes
26,991,6,3,0,71,4,2659,17759,1,2,3,No
37,482,3,3,1,36,3,9434,9606,1,8,10,No
29,1176,3,2,0,62,3,5561,3487,1,2,6,No
35,1017,6,4,1,82,4,6646,19368,1,8,17,No
33,1296,6,3,1,30,4,7725,5335,3,7,15,No
54,397,19,4,1,88,2,10725,6729,2,1,16,No
36,913,9,2,1,48,2,8847,13934,2,2,13,No
27,1115,3,4,1,54,4,2045,15174,0,1,5,No
20,1362,10,1,1,32,3,1009,26999,1,1,1,Yes
33,1076,3,3,1,70,1,3348,3164,1,7,10,Yes
35,727,3,3,1,41,3,1281,16900,1,0,1,No
23,885,4,3,1,58,1,2819,8544,2,2,5,No
25,810,8,3,1,57,2,4851,15678,0,2,4,No
38,243,7,4,0,46,4,4028,7791,0,5,8,No
29,806,1,4,1,76,4,2720,18959,1,8,10,No
48,817,2,1,1,56,2,8120,18597,3,2,12,No
27,1410,3,1,0,71,4,4647,16673,1,4,6,No
37,1225,10,2,1,80,4,4680,15232,3,0,4,No
50,1207,28,1,1,74,3,3221,3297,1,8,20,No
34,1442,9,3,0,46,2,8621,17654,1,7,9,No
24,693,3,2,0,65,3,4577,24785,9,0,4,Yes
39,408,2,4,0,80,3,4553,20978,1,10,20,No
32,929,10,3,1,55,4,5396,21703,1,8,10,No
50,562,8,2,1,50,3,6796,23452,3,3,18,Yes
38,827,1,4,0,33,4,7625,19383,0,8,10,No
27,608,1,2,0,68,1,7412,6009,1,7,5,No
32,1018,3,2,0,39,4,11159,19373,3,7,10,No
47,703,14,4,1,42,1,4960,11825,2,7,20,No
40,580,5,4,1,48,1,10475,23772,5,12,20,No
53,970,7,3,1,59,3,14814,13514,3,3,32,No
41,427,10,4,1,73,4,19141,8861,3,6,23,No
60,1179,16,4,1,84,1,5405,11924,8,2,10,No
27,294,10,2,1,32,1,8793,4809,1,7,9,No
41,314,1,3,1,59,3,19189,19562,1,10,22,No
50,316,8,4,1,54,2,3875,9983,7,2,4,No
28,654,1,2,0,67,2,2216,3872,7,7,10,Yes
36,427,8,3,0,63,1,11713,20335,9,5,10,No
38,168,1,3,0,81,3,7861,15397,4,0,10,No
44,381,24,3,1,49,3,3708,2104,2,4,9,No
47,217,3,3,0,49,3,13770,10225,9,13,28,No
30,501,27,5,1,99,4,5304,25275,7,7,10,No
29,1396,10,3,1,99,3,2642,2755,1,0,1,No
42,933,19,3,1,57,3,2759,20366,6,2,7,Yes
43,775,15,3,1,47,4,6804,23683,3,2,7,No
34,970,8,2,0,96,3,6142,7360,3,3,10,No
23,650,9,1,1,37,1,2500,4344,1,2,5,No
39,141,3,3,0,44,2,6389,18767,9,6,12,No
56,832,9,3,1,81,4,11103,20420,7,1,30,No
40,804,2,1,0,86,4,2342,22929,0,3,5,No
27,975,7,3,0,55,1,6811,23398,8,7,9,No
29,1090,10,3,1,83,2,2297,17967,1,2,2,No
53,346,6,3,1,86,4,2450,10919,2,2,19,No
35,1225,2,4,0,61,1,5093,4761,2,0,16,No
32,430,24,4,1,80,4,5309,21146,1,7,10,No
38,268,2,5,1,92,3,3057,20471,6,1,6,No
34,167,8,5,0,32,1,5121,4187,3,0,7,No
52,621,3,4,1,31,1,16856,10084,1,16,34,No
33,527,1,4,1,63,4,2686,5207,1,8,10,Yes
25,883,26,1,0,32,4,6180,22807,1,4,6,No
45,954,2,2,1,46,3,6632,12388,0,1,9,No
23,310,10,1,1,79,3,3505,19630,1,2,2,No
47,719,27,2,0,77,3,6397,10339,4,3,8,Yes
34,304,2,3,1,60,4,6274,18686,1,4,6,No
55,725,2,3,1,78,1,19859,21199,5,4,24,Yes
36,1434,8,4,1,76,1,7587,14229,1,9,10,No
52,715,19,4,1,41,4,4258,26589,0,2,5,No
26,575,1,2,0,71,4,4364,5288,3,0,5,No
29,657,27,3,0,66,3,4335,25549,4,1,11,No
26,1146,8,3,1,38,1,5326,3064,6,2,6,Yes
34,182,1,4,0,72,4,3280,13551,2,3,10,No
54,376,19,4,0,95,1,5485,22670,9,4,9,No
27,829,8,1,1,84,4,4342,24008,0,1,5,No
37,571,10,1,0,82,1,2782,19905,0,3,6,No
38,240,2,4,0,75,1,5980,26085,6,12,17,No
34,121,2,4,0,86,1,4381,7530,1,3,6,No
35,384,8,4,0,72,4,2572,20317,1,2,3,No
30,921,1,3,1,38,3,3833,24375,3,2,7,No
40,791,2,2,0,38,2,4244,9931,1,7,8,No
34,1111,8,2,0,93,1,6500,13305,5,2,6,No
42,570,8,3,1,66,4,18430,16225,1,9,24,No
23,1243,6,3,1,63,1,1601,3445,1,0,1,Yes
24,1092,9,3,1,60,2,2694,26551,1,0,1,No
52,1325,11,4,0,82,3,3149,21821,8,4,9,No
50,691,2,3,1,64,3,17639,6881,5,3,30,No
29,805,1,2,0,36,1,2319,6689,1,0,1,Yes
33,213,7,3,1,49,3,11691,25995,0,7,14,No
33,118,16,3,0,69,1,5324,26507,5,2,6,Yes
47,202,2,2,0,33,4,16752,12982,1,0,26,No
36,676,1,3,0,35,2,5228,23361,0,5,10,No
29,1252,23,2,1,81,3,2700,23779,1,7,10,No
58,286,2,4,1,31,2,19246,25761,7,8,40,Yes
35,1258,1,4,0,40,3,2506,13301,3,2,7,No
42,932,1,2,0,43,4,6062,4051,9,2,8,No
28,890,2,4,1,46,3,4382,16374,6,1,5,Yes
36,1041,13,3,1,36,2,2143,25527,4,4,8,No
32,859,4,3,0,98,3,6162,19124,1,8,14,No
40,720,16,4,1,51,3,5094,11983,6,0,10,No
30,946,2,3,0,52,4,6877,20234,5,0,12,No
45,252,2,3,0,95,3,2274,6153,1,0,1,No
42,933,29,3,1,98,2,4434,11806,1,8,10,No
38,471,12,3,1,45,1,6288,4284,2,2,13,No
34,702,16,4,0,100,4,2553,8306,1,3,6,No
49,1184,11,3,0,43,4,7654,5860,1,7,9,Yes
55,436,2,1,1,37,4,5160,21519,4,3,12,Yes
43,589,14,2,1,94,1,17159,5200,6,0,22,No
27,269,5,1,1,42,4,12808,8842,1,8,9,No
35,950,7,3,1,59,3,10221,18869,3,6,17,No
28,760,2,4,0,81,2,4779,3698,1,5,8,No
34,829,3,2,1,88,4,3737,2243,0,2,4,No
26,887,5,2,0,88,3,2366,20898,1,7,8,Yes
27,443,3,3,1,50,4,1706,16571,1,0,0,No
51,1318,9.19193989,4,0,66,3,16307,5594,2,17,29,No
44,625,4,3,1,50,2,5933,5197,9,3,10,No
25,180,2,1,1,65,1,3424,21632,7,1,6,No
33,586,1,3,1,48,1,4037,21816,1,8,9,No
35,1343,27,1,0,53,1,2559,17852,1,1,6,No
36,928,1,2,1,56,4,6201,2823,1,11,18,No
32,117,13,4,1,73,4,4403,9250,2,3,8,No
30,1012,5,4,1,75,4,3761,2373,9,3,10,No
53,661,7,2,0,78,4,10934,20715,7,4,35,No
45,930,9,3,1,74,1,10761,19239,4,2,18,No
32,638,8,2,0,91,3,5175,22162,5,3,9,No
52,890,25,4,0,81,4,13826,19028,3,0,31,No
37,342,16,4,1,66,3,6334,24558,4,0,9,No
28,1169,8,2,1,63,4,4936,23965,1,4,6,No
22,1230,1,2,1,33,4,4775,19146,6,2,4,No
44,986,8,4,1,62,4,2818,5044,2,2,10,No
42,1271,2,1,1,35,4,2515,9068,5,2,8,No
36,1278,8,3,1,77,1,2342,8635,0,3,6,No
25,141,3,1,1,98,1,4194,14363,1,3,5,No
35,607,9,3,0,66,3,10685,23457,1,15,17,No
35,130,25,4,0,96,2,2022,16612,1,8,10,Yes
32,300,1,3,1,61,4,2314,9148,0,2,4,No
25,583,4,1,1,87,1,4256,18154,1,3,5,No
49,1418,1,3,0,36,1,3580,10554,2,2,7,No
24,1269,4,1,1,46,4,3162,10778,0,4,6,No
32,379,5,2,1,48,2,6524,8891,1,3,10,No
38,395,9,3,1,98,2,2899,12102,0,2,3,No
42,1265,3,3,0,95,4,5231,23726,2,3,17,No
31,1222,11,4,1,48,4,2356,14871,3,2,8,No
29,341,1,3,0,48,3,2800,23522,6,2,5,Yes
53,868,8,3,1,73,4,11836,22789,5,2,28,No
35,672,25,3,1,78,2,10903,9129,3,8,16,No
37,1231,21,2,0,54,4,2973,21222,5,0,10,No
53,102,23,4,0,72,4,14275,20206,6,8,33,No
43,422,1,3,0,33,4,5562,21782,4,2,12,No
47,249,2,2,0,35,4,4537,17783,0,7,8,No
37,1252,19,2,1,32,2,7642,4814,1,9,10,No
50,881,2,4,1,98,1,17924,4544,1,7,31,No
39,1383,2,3,0,42,4,5204,7790,8,4,13,No
33,1075,3,2,1,57,2,2277,22650,3,3,7,No
32,374,25,4,1,87,4,2795,18016,1,1,1,Yes
29,1086,7,1,0,62,4,2532,6054,6,3,8,No
44,661,9,2,1,61,1,2559,7508,1,1,8,No
28,821,5,4,1,98,4,4908,24252,1,2,4,No
58,781,2,1,1,57,4,2380,13384,9,0,3,Yes
43,177,8,3,0,55,2,4765,23814,4,0,4,No
20,500,2,3,0,49,3,2044,22052,1,2,2,Yes
21,1427,18,1,0,65,4,2693,8870,1,0,1,Yes
36,1425,14,1,1,68,4,6586,4821,0,11,17,No
47,1454,2,4,0,65,4,3294,13137,1,2,3,No
22,617,3,1,0,34,3,4171,10022,0,2,4,Yes
41,1085,2,4,0,57,4,2778,17725,4,0,10,Yes
28,995,9,3,0,77,3,2377,9834,5,2,6,No
39,1122,6,3,1,70,1,2404,4303,7,2,8,Yes
27,618,4,3,0,76,3,2318,17808,1,0,1,No
34,546,10,3,1,83,2,2008,6896,1,0,1,No
42,462,14,2,0,68,3,6244,7824,7,3,10,No
33,1198,1,4,1,100,1,2799,3339,3,2,6,No
58,1272,5,3,0,37,2,10552,9255,2,4,24,No
31,154,7,4,1,41,3,2329,11737,3,2,13,No
35,1137,21,1,0,51,4,4014,19170,1,7,10,No
49,527,8,2,0,51,2,7403,22477,4,7,29,No
48,1469,20,4,1,51,3,2259,5543,4,0,13,No
31,1188,20,2,0,45,3,6932,24406,1,0,9,No
36,188,7,4,1,65,4,4678,23293,2,1,8,No
38,1333,1,3,0,80,1,13582,16292,1,11,15,No
32,1184,1,3,0,70,2,2332,3974,6,2,5,No
25,867,19,2,1,36,2,2413,18798,1,0,1,Yes
40,658,10,4,1,67,2,9705,20652,2,0,11,No
26,1283,1,3,1,52,1,4294,11148,1,7,7,No
41,263,6,3,1,59,1,4721,3119,2,17,20,No
36,938,2,4,1,79,3,2519,12287,4,9,16,No
19,419,21,3,1,37,2,2121,9947,1,0,1,Yes
20,129,4,3,1,84,1,2973,13008,1,0,1,Yes
31,616,12,3,0,41,4,5855,17369,0,5,10,No
40,1469,9,4,1,35,2,3617,25063,8,0,3,No
32,498,3,4,0,93,1,6725,13554,1,3,8,No
36,530,3,1,1,51,4,10325,5518,1,7,16,Yes
33,1069,1,3,0,42,4,6949,12291,0,4,6,No
37,625,1,4,1,46,3,10609,14922,5,7,17,Yes
45,805,4,2,1,57,2,4447,23163,1,8,9,No
29,1404,20,3,0,84,4,2157,18203,1,2,3,No
35,1219,18,3,0,86,3,4601,6179,1,0,5,No
52,1053,1,2,1,70,4,17099,13829,2,8,26,No
58,289,2,3,1,51,3,2479,26227,4,0,7,Yes
53,1376,2,2,1,45,3,14852,13938,6,2,22,No
30,231,8,2,1,62,3,7264,9977,5,7,10,No
38,152,10,3,0,85,4,5666,19899,1,3,6,No
35,882,3,4,1,65.84941821,4,7823,6812,6,8,12,No
39,903,2,5,1,41,3,7880,2560,0,7,9,No
40,1479,24,3,0,100,2,13194,17071,4,0,22,Yes
47,1379,16,4,1,64,3,5067,6759,1,7,20,No
36,1229,8,4,1,84,4,5079,25952,4,7,12,No
31,335,9,2,1,46,1,2321,10322,0,2,4,Yes
33,722,17,3,1,38,3,17444,20489,1,0,10,No
29,906,10,3,0,92,1,2404,11479,6,0,3,Yes
33,461,13,1,0,53,4,3452,17241,3,2,5,No
45,974,1,4,0,91,4,2270,11005,3,2,8,No
50,1126,1,2,1,66,4,17399,6615,9,3,32,No
33,827,1,4,0,84,2,5488,20161,1,2,6,No
41,840,9,3,1,64,3,19419,3735,2,11,21,No
27,1134,16,4,0,37,2,2811,12086,9,2,4,No
45,248,23,2,1,42,1,3633,14039,1,8,9,No
47,955,4,2,0,83,4,4163,8571,1,7,9,No
30,138,22,3,0,48,3,2132,11539,4,1,7,Yes
50,939,24,3,1,95,3,13973,4161,3,5,22,No
38,1391,10,1,1,66,3,2684,12127,0,2,3,No
46,566,7,2,1,75,3,10845,24208,6,7,13,No
24,1206,17,1,0,41,3,4377,24117,1,2,5,No
35,622,14,4,1,39,2,3743,10074,1,2,5,Yes
31,853,1,1,0,96,1,4148,11275,1,3,4,No
18,287,5,2,1,73,4,1051,13493,1,0,0,No
54,1441,17,3,0,56,3,10739,13943,8,8,22,No
35,583,25,4,0,57,3,10388,6975,1,1,16,No
30,153,8,2,0,73,1,11416,17802,0,7,9,No
20,1097,11,3,0,98,1,2600,18275,1,0,1,Yes
30,109,5,3,0,60,2,2422,25725,0,2,4,Yes
26,1066,2,2,1,32,4,5472,3334,1,3,8,No
22,217,8,1,1,94,1,2451,6881,1,1,4,No
48,277,6,3,1,97,3,4240,13119,2,2,19,No
48,1355,4,4,1,78,3,10999,22245,7,8,27,No
41,549,7,2,0,42,3,5003,23371,6,1,8,No
39,466,1,1,0,65,4,12742,7060,1,8,21,No
27,1055,2,4,0,47,4,4227,4658,0,2,4,No
35,802,10,3,1,45,4,3917,9541,1,2,3,No
42,265,5,2,1,90,3,18303,7770,6,0,21,No
50,804,9,3,1,64,4,2380,20165,4,0,8,No
59,715,2,3,0,69,4,13726,21829,3,3,30,No
37,1141,11,2,0,61,2,4777,14382,5,0,15,Yes
55,135,18,4,1,62,2,6385,12992,3,7,17,No
41,247,7,1,0,55,3,19973,20284,1,10,21,No
38,1035,3,4,1,42,4,6861,4981,8,0,19,No
26,265,29,2,1,79,1,4969,21813,8,2,7,Yes
52,266,2,1,0,57,4,19845,25846,1,9,33,Yes
44,1448,28,3,0,53,4,13320,11737,3,11,23,No
50,145,1,3,0,95,3,6347,24920,0,13,19,No
36,885,16,4,0,43,1,2743,8269,1,14,18,Yes
39,945,22,3,0,82,1,10880,5083,1,8,21,No
33,1038,8,1,0,88,4,2342,21437,0,2,3,No
45,1234,11,2,0,90,4,17650,5404,3,1,26,No
32,1109,29,4,0,69,3,4025,11135,9,7,10,No
34,216,1,4,1,75,4,9725,12278,0,9,16,No
59,1089,1,2,1,66,4,11904,11038,3,4,14,No
45,788,24,4,1,36,2,2177,8318,1,4,6,No
53,124,2,3,0,38,2,7525,23537,2,12,30,No
36,660,15,3,1,81,3,4834,7858,7,0,9,Yes
26,342,2,3,1,57,1,2042,15346,6,2,6,Yes
34,1333,10,4,0,87,3,2220,18410,1,0,1,No
28,1144,10,1,1,74,2,1052,23384,1,0,1,No
38,1186,3,4,1,44,3,2821,2997,3,2,8,No
50,1464,2,4,1,62,3,19237,12853,2,7,29,No
37,124,3,3,0,35,2,4107,13848,3,1,8,No
40,300,26,3,1,74,1,8396,22217,1,5,8,No
26,921,1,1,0,66,3,2007,25265,1,3,5,No
46,430,1,4,1,40,4,19627,21445,9,2,23,No
54,1082,2,4,0,41,3,10686,8392,6,0,13,No
56,1240,9,3,0,63,3,2942,12154,2,3,18,No
36,796,12,5,0,51,4,8858,15669,0,8,15,No
55,444,2,1,1,40,1,16756,17323,7,2,31,No
43,415,25,3,1,79,4,10798,5268,5,0,18,No
20,769,9,3,0,54,4,2323,17205,1,2,2,Yes
21,1334,10,3,0,36,1,1416,17258,1,0,1,Yes
46,1003,8,4,0,74,1,4615,21029,8,7,19,No
51,1323,4,4,1,34,3,2461,10332,9,7,18,Yes
28,1366,24,2,1,72,1,8722,12355,1,9,10,Yes
26,192,1,2,1,59,1,3955,11141,1,3,6,No
30,1176,20,3,1,85,1,9957,9096,0,2,7,No
41,509,7,2,0,43,3,3376,18863,1,8,10,No
38,330,17,1,0,65,3,8823,24608,0,9,20,No
40,1492,20,4,1,61,4,10322,26542,4,1,14,No
27,1277,8,5,1,87,3,4621,5869,1,2,3,No
55,1091,2,1,1,65,2,10976,15813,3,2,23,No
28,857,10,3,0,59,3,3660,7909,3,7,10,No
44,1376,1,2,1,91,1,10482,2326,9,6,24,Yes
33,654,5,3,1,34,4,7119,21214,4,2,9,No
35,1204,4,3,1,86,1,9582,10333,0,7,9,Yes
33,827,29,4,0,54,3,4508,3129,1,8,14,Yes
28,895,15,2,1,50,3,2207,22482,1,2,4,No
34,618,3,1,1,45,4,7756,22266,0,4,7,No
37,309,10,4,0,88,4,6694,24223,2,0,8,No
25,1219,4,1,1,32,4,3691,4605,1,6,7,Yes
26,1330,21,3,1,37,3,2377,19373,1,0,1,Yes
33,1017,25,3,1,55,2,2313,2993,4,2,5,Yes
42,469,2,2,1,35,1,17665,14399,0,7,23,No
28,1009,1,3,1,45,2,2596,7160,1,0,1,Yes
50,959,1,4,1,81,3,4728,17251,3,0,5,Yes
33,970,7,3,0,30,2,4302,13401,0,2,4,No
34,697,3,4,1,40,4,2979,22478,3,0,6,No
48,1262,1,4,1,35,4,16885,16154,2,1,27,No
45,1050,9,4,0,65,3,5593,17970,1,12,15,No
52,994,7,4,1,87,2,10445,15322,7,0,18,No
38,770,10,4,1,73,3,8740,5569,0,7,9,No
29,1107,28,4,0,93,4,2514,26968,4,7,11,No
28,950,3,3,0,93,2,7655,8039,0,7,10,No
46,406,3,1,1,52,3,17465,15596,3,9,23,No
38,130,2,2,1,32,2,7351,20619,7,0,10,No
43,1082,27,3,0,83,1,10820,11535,8,1,18,No
39,203,2,3,1,84,4,12169,13547,7,5,21,Yes
40,1308,14,3,1,44,3,19626,17544,1,9,21,No
21,984,1,1,0,70,2,2070,25326,1,2,2,No
39,439,9,3,1,70,2,6782,8770,9,3,9,No
36,217,18,4,1,78,4,7779,23238,2,9,18,No
31,793,20,3,1,67,4,2791,21981,0,2,3,No
28,1451,2,1,1,67,2,3201,19911,0,4,6,No
35,1182,11,2,1,54,4,4968,18500,1,2,5,No
49,174,8,4,1,56,2,13120,11879,6,3,22,No
34,1003,2,2,1,95,3,4033,15834,2,2,5,No
29,490,10,3,0,61,2,3291,17940,0,1,8,No
42,188,29,3,1,56,4,4272,9558,4,0,16,No
29,718,8,1,1,79,4,5056,17689,1,2,10,No
38,433,1,3,1,37,3,2844,6004,1,0,7,No
28,773,6,3,1,39,3,2703,22088,1,2,3,No
18,247,8,1,1,80,3,1904,13556,1,0,0,Yes
33,603,9,4,0,77,1,8224,18385,0,3,6,Yes
41,167,12,4,1,46,4,4766,9051,3,0,6,No
31,874,15,3,1,72,3,2610,6233,1,2,2,Yes
37,367,25,2,0,52,4,5731,17171,7,3,9,No
27,199,6,3,1,55,3,2539,7950,1,2,4,No
34,1400,9,1,0,70,3,5714,5829,1,3,6,No
35,528,8,4,1,100,3,4323,7108,1,4,6,No
29,408,23,1,0,45,1,7336,11162,1,10,11,Yes
40,593,9,4,0,88,3,13499,13782,9,13,20,No
42,481,12,3,1,44,1,13758,2447,0,14,22,Yes
42,647,4,4,1,45,1,5155,2253,7,5,9,No
35,982,1,4,1,58,3,2258,16340,6,7,10,No
24,477,24,3,1,49,2,3597,6409,8,2,6,No
28,1485,12,1,0,79,4,2515,22955,1,0,1,Yes
26,1384,3,4,1,82,4,4420,13421,1,7,8,No
30,852,10,3,1,72,3,6578,2706,1,4,10,No
40,902,26,2,0,92,4,4422,21203,3,0,16,No
35,819,2,3,1,44,2,10274,19588,2,4,15,No
34,669,1,3,1,97,1,5343,25755,0,9,14,No
35,636,4,4,1,47,4,2376,26537,1,2,2,No
43,1372,9,3,0,85,3,5346,9489,8,3,7,Yes
32,862,2,1,0,76,1,2827,14947,1,0,1,No
56,718,4,4,0,92,1,19943,18575,4,2,28,No
29,1401,6,1,0,54,4,3131,26342,1,8,10,No
19,645,9,2,1,54,1,2552,7172,1,0,1,No
45,1457,7,3,0,83,3,4477,20100,4,2,7,No
37,977,1,3,0,56,4,6474,9961,1,11,14,No
20,805,3,3,1,87,3,3033,12828,1,2,2,No
44,1097,10,4,1,96,3,2936,10826,1,2,6,Yes
53,1223,7,2,0,50,3,18606,18640,3,7,26,No
29,942,15,1,0,69,4,2168,26933,0,3,6,No
22,1256,3,4,1,48,4,2853,4223,0,0,1,Yes
46,1402,2,3,0,69,1,17048,24097,8,9,28,No
44,111,17,3,1,74,3,2290,4279,2,0,6,No
33,147,2,3,1,99,3,3600,8429,1,4,5,No
41,906,5,2,1,95,1,2107,20293,6,0,5,Yes
30,1329,29,4,1,61,1,4115,13192,8,3,8,No
40,1184,2,4,1,62,2,4327,25440,5,0,5,No
50,1421,2,3,0,30,1,17856,9490,2,2,32,No
28,1179,19,4,1,78,1,3196,12449,1,3,6,No
46,1450,15,2,1,52,2,19081,10849,5,3,25,No
35,1361,17,4,1,94,1,8966,21026,3,7,15,No
24,984,17,2,0,97,2,2210,3372,1,0,1,Yes
33,1146,25,3,0,82,3,4539,4905,1,1,10,No
36,917,6,4,1,60,3,2741,6865,1,7,7,No
30,853,7,4,1,49,3,3491,11309,1,9,10,No
44,200,29,4,1,32,4,4541,7744,1,17,20,No
20,654,21,3,1,43,4,2678,5050,1,2,2,No
46,150,2,4,1,60,4,7379,17433,2,4,12,No
42,179,2,5,1,79,1,6272,12858,7,3,10,No
60,696,7,4,1,52,4,5220,10893,0,9,12,No
32,116,13,3,0,77,2,2743,7331,1,2,2,No
32,1316,2,2,0,38,3,4998,2338,4,7,10,No
36,363,1,3,0,77,1,10252,4235,2,7,17,No
33,117,9,3,1,60,4,2781,6311,0,10,15,No
40,107,10,3,0,84,2,6852,11591,7,3,7,No
25,1356,10,4,1,57,4,4950,20623,0,1,5,No
30,1465,1,3,1,63,2,3579,9369,0,7,12,No
42,458,26,5,0,60,1,13191,23281,3,0,20,No
35,1212,8,2,0,78,4,10377,13755,4,12,16,No
27,1103,14,3,1,42,1,2235,14377,1,8,9,No
54,966,1,4,0,53,3,10502,9659,7,4,33,No
44,1117,2,1,0,72,4,2011,19982,1,7,10,No
19,504,10,3,0,96,2,1859,6148,1,0,1,Yes
29,1010,1,3,0,97,4,3760,5598,1,2,3,No
54,685,3,3,1,85,4,17779,23474,3,9,36,No
31,1332,11,2,1,80,1,6833,17089,1,1,6,No
31,1062,24,3,0,96,1,6812,17198,1,8,10,No
59,326,3,3,0,48,4,5171,16490,5,5,13,No
43,920,3,3,1,96,4,19740,18625,3,7,25,No
49,1098,4,2,1,85,3,18711,12124,2,0,23,No
36,469,3,3,1,46,2,3692,9256,1,7,12,No
48,969,2,2,1,76,2,2559,16620,5,0,7,No
27,1167,4,2,1,76,3,2517,3208,1,3,5,No
29,1329,7,3,1,82,4,6623,4204,1,0,6,No
48,715,1,3,1,76,4,18265,8733,6,0,25,No
29,694,1,3,0,87,4,16124,3423,3,7,9,No
34,1320,20,3,0,89,3,2585,21643,0,0,2,No
44,1099,5,3,1,88,2,18213,8751,7,10,26,No
33,536,10,5,1,82,3,8380,21708,0,8,10,No
19,265,25,3,0,57,4,2994,21221,1,1,1,No
23,373,1,2,1,47,3,1223,16901,1,1,1,No
25,599,24,1,1,73,4,1118,8040,1,0,1,Yes
26,583,4,2,1,53,4,2875,9973,1,2,8,No
45,1449,2,3,0,94,2,18824,2493,2,11,26,Yes
55,177,8,1,1,37,2,13577,25592,1,0,34,No
21,251,10,2,0,45,3,2625,25308,1,2,2,Yes
46,168,4,2,0,33,2,18789,9946,2,8,26,No
34,131,2,3,0,86,1,4538,6039,0,2,4,No
51,237,9,3,1,83,2,19847,19196,4,10,31,No
59,1429,18,4,1,67,4,10512,20002,6,4,25,No
34,135,19,3,0,46,2,4444,22534,4,10,15,No
28,791,1,4,1,44,3,2154,6842,0,2,5,No
44,1199,4,2,1,92,1,19190,17477,1,13,26,No
34,648,11,3,1,56,2,4490,21833,4,8,14,No
35,735,6,1,1,66,3,3506,6020,0,2,4,No
42,603,7,4,0,78,2,2372,5628,6,0,18,No
43,531,4,4,0,56,4,10231,20364,3,17,23,No
36,429,2,4,0,53,2,5410,2323,9,12,18,No
44,621,15,3,0,73,4,7978,14075,1,5,10,Yes
28,193,2,3,1,52,4,3867,14222,1,2,2,No
51,968,6,2,0,40,3,2838,4257,0,7,8,No
30,879,9,2,0,72,3,4695,12858,7,7,10,No
29,806,7,3,0,39,3,3339,17285,3,7,10,Yes
28,640,1,3,1,84,1,2080,4732,2,2,5,No
25,266,1,3,0,40,2,2096,18830,1,1,2,No
32,604,8,3,1,56,4,6209,11693,1,8,10,No
45,364,25,3,0,83,2,18061,13035,3,0,22,No
39,412,13,4,0,94,2,17123,17334,6,2,21,No
58,848,23,4,1,88,3,2372,26076,1,2,2,No
32,1089,7,2,1,79,3,4883,22845,1,1,10,Yes
39,360,23,3,1,93,1,3904,22154,0,3,6,Yes
30,1138,6,3,0,48,4,4627,23631,0,7,10,No
36,325,10,4,0,63,3,7094,5747,3,7,10,No
46,991,1,2,0,44,1,3423,22957,6,7,10,No
28,1476,1,3,0,55,4,6674,16392,0,5,10,No
50,1322,28,3,0,43,1,16880,22422,4,2,25,No
40,299,25,4,1,57,2,9094,17235,2,0,9,Yes
52,1030,5,3,1,64,2,8446,21534,9,7,10,Yes
30,634,17,4,0,95,1,11916,25927,1,8,9,No
39,524,18,2,1,32,3,4534,13352,0,7,9,No
31,587,2,4,0,57,3,9852,8935,1,6,10,No
41,256,10,2,1,40,2,6151,22074,1,9,19,No
31,1060,1,3,0,54,2,2302,8319,1,2,3,Yes
44,935,3,3,1,89,1,2362,14669,4,2,10,Yes
42,495,2,1,1,37,3,17861,26582,0,10,21,No
55,282,2,2,0,58,3,19187,6992,4,11,23,No
56,206,8,4,1,99,2,19717,4022,6,7,36,No
40,458,16,2,1,74,3,3544,8532,9,0,6,No
34,943,9,3,1,86,4,8500,5494,0,6,10,No
40,523,2,3,1,98,4,4661,22455,1,8,9,No
41,1018,1,3,0,66,1,4103,4297,0,7,10,No
35,482,4,4,1,87,3,4249,2690,1,1,9,No
51,770,5,3,1,84,2,14026,17588,1,10,33,No
38,1009,2,2,0,31,1,6893,19461,3,7,11,No
34,507,15,2,0,66,1,6125,23553,1,6,10,No
25,882,19,1,1,67,4,3669,9075,3,2,7,No
